18:29:05.679 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\controller\UserController.class]
18:29:05.679 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\controller\UserDiaryController.class]
18:29:05.679 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\controller\UserFollowController.class]
18:29:05.679 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\controller\system\SysLoginController.class]
18:29:05.695 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\controller\system\SysMenuController.class]
18:29:05.695 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\controller\system\SysRoleController.class]
18:29:05.695 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\controller\system\SysRoleMenuController.class]
18:29:05.695 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\controller\system\SysUserController.class]
18:29:05.695 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\controller\system\SysUserRoleController.class]
18:29:05.711 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\handler\MyMetaObjectHandler.class]
18:29:05.717 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\security\UserDetailsServiceImpl.class]
18:29:05.717 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\security\filter\JwtAuthenticationTokenFilter.class]
18:29:05.717 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\security\handle\AuthenticationEntryPointImpl.class]
18:29:05.717 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\security\handle\LogoutSuccessHandlerImpl.class]
18:29:05.717 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\service\impl\BlogServiceImpl.class]
18:29:05.717 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\service\impl\CollectionServiceImpl.class]
18:29:05.717 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\service\impl\CommentServiceImpl.class]
18:29:05.717 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\service\impl\SysMenuServiceImpl.class]
18:29:05.717 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\service\impl\SysRoleMenuServiceImpl.class]
18:29:05.717 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\service\impl\SysRoleServiceImpl.class]
18:29:05.733 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\service\impl\SysUserRoleServiceImpl.class]
18:29:05.733 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\service\impl\SysUserServiceImpl.class]
18:29:05.733 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\service\impl\TagServiceImpl.class]
18:29:05.733 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\service\impl\TypeServiceImpl.class]
18:29:05.733 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\service\impl\UserDiaryServiceImpl.class]
18:29:05.733 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\service\impl\UserFollowServiceImpl.class]
18:29:05.733 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\service\impl\UserServiceImpl.class]
18:29:05.733 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\utils\JwtUtil.class]
18:29:05.733 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\utils\RedisUtil.class]
18:29:05.733 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\utils\email\EmailSendUtil.class]
18:29:05.748 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\utils\spring\SpringUtils.class]
18:29:05.817 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: URL [jar:file:/C:/Users/86177/.m2/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/web/OpenApiControllerWebMvc.class]
18:29:05.848 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: URL [jar:file:/C:/Users/86177/.m2/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/mappers/OasVendorExtensionsMapperImpl.class]
18:29:05.848 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: URL [jar:file:/C:/Users/86177/.m2/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/mappers/StyleEnumMapperImpl.class]
